atleast, >d, done_percent, <ep, learning_curve, <np, nprod, optimism, pomposity, productivity_exp, productivity_new, r, to, ts, >dom, !klass
..9.88,46.45,..9.99,6.66,33.61..64.18,3.34,1.66..2.4,..99.92,26.78..,2.38..,0.52..0.66,822.37..,10.82..27.53,88.54..,0.74,..0.97
..9.88,46.45,..9.99,6.96,33.61..64.18,3.04,1.66..2.4,..99.92,26.78..,2.38..,0.52..0.66,822.37..,10.82..27.53,88.54..,0.76,..0.97
..9.88,46.45,..9.99,7.48,33.61..64.18,2.52,1.66..2.4,..99.92,26.78..,2.38..,0.52..0.66,822.37..,10.82..27.53,88.54..,0.81,..0.97
..9.88,46.45,..9.99,5.15,33.61..64.18,4.85,1.66..2.4,..99.92,26.78..,2.38..,0.52..0.66,822.37..,10.82..27.53,88.54..,0.73,..0.97
..9.88,46.45,..9.99,7.91,33.61..64.18,2.09,1.66..2.4,..99.92,26.78..,2.38..,0.52..0.66,822.37..,10.82..27.53,88.54..,0.72,..0.97
..9.88,46.45,..9.99,5.85,33.61..64.18,4.15,1.66..2.4,..99.92,26.78..,2.38..,0.52..0.66,822.37..,10.82..27.53,88.54..,0.73,..0.97
..9.88,46.45,..9.99,6.86,33.61..64.18,3.14,1.66..2.4,..99.92,26.78..,2.38..,0.52..0.66,822.37..,10.82..27.53,88.54..,0.8,..0.97
..9.88,46.45,..9.99,7.55,33.61..64.18,2.45,1.66..2.4,..99.92,26.78..,2.38..,0.52..0.66,822.37..,10.82..27.53,88.54..,0.77,..0.97
..9.88,46.45,..9.99,6.1,33.61..64.18,3.9,1.66..2.4,..99.92,26.78..,2.38..,0.52..0.66,822.37..,10.82..27.53,88.54..,0.8,..0.97
..9.88,46.45,..9.99,5.97,33.61..64.18,4.03,1.66..2.4,..99.92,26.78..,2.38..,0.52..0.66,822.37..,10.82..27.53,88.54..,0.75,..0.97
..9.88,46.45,..9.99,6.33,33.61..64.18,3.67,1.66..2.4,..99.92,26.78..,2.38..,0.52..0.66,822.37..,10.82..27.53,88.54..,0.82,..0.97
..9.88,46.45,..9.99,7.31,33.61..64.18,2.69,1.66..2.4,..99.92,26.78..,2.38..,0.52..0.66,822.37..,10.82..27.53,88.54..,0.79,..0.97
..9.88,48.33,..9.99,6.52,33.61..64.18,6.48,9.5..,..99.92,26.78..,2.38..,..0.25,236.03..817.08,47.82..63.02,88.54..,0.69,..0.97
